time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-5.88259194309e-08,-1.03082167977e-08,10.0041436441,6.28317225308,6.28276448258,0.0,1.40477181947e-05,-1.04241407909e-06,0.138114010572,-0.000656334241842,-0.0272124142044,0.0,451.0448946309002,448.8422888608619,447.7393319988526,447.68594627586606
0.12000000000000001,2.00665143285e-05,-7.10184232649e-07,10.0212947176,6.28300030967,6.28098676726,0.0,0.000879399468224,-3.55801362465e-05,0.433522915408,-0.00769806222434,-0.0349603336785,0.0,494.9972090767364,494.4266283126272,495.7064191778566,495.1888384018998
0.18,0.000132033985311,-8.55377043325e-06,10.0525191703,6.28291799446,6.27884033121,0.0,0.00309221257677,-0.00025396773651,0.607214775066,0.00896678711477,-0.0374525209181,0.0,460.5604105930961,460.36276631929746,458.7001958079174,460.02152269010816
0.23999999999999996,0.000430756667594,-2.77400363439e-05,10.0950481915,0.000308855966723,6.27643773997,0.0,0.00713657679877,-0.000320191675002,0.810295723099,0.0108454614809,-0.0458043295242,0.0,469.22556674033973,468.5760996928028,468.7839120576928,468.9297220164721
0.3,0.000989096965304,-3.83664174078e-05,10.1439345172,0.00170433385369,6.27338274325,0.0,0.0117291793314,6.31067679546e-05,0.819239974624,0.0406689912725,-0.0638505445479,0.0,408.0903996322992,406.4745506197058,406.73762466922585,409.3996233002143
0.36000000000000004,0.00190087026608,8.01455169271e-06,10.195223361,0.00387515938186,6.26960364774,0.0,0.0190344945204,0.00171004664893,0.890330337946,0.0252155554537,-0.0613083434005,0.0,427.10542749605514,427.3191076166419,430.12252405678623,428.8125808404883
0.4200000000000001,0.00336347193598,0.000204784875926,10.253459537,0.00595402288006,6.26596314426,0.0,0.0301229341954,0.00505278410556,1.05073448046,0.0488528728226,-0.0594381905472,0.0,456.76647211193995,456.9130623350038,455.2308017415076,457.1185047791164
0.48000000000000015,0.00544126035228,0.00060638740799,10.313964538,0.00837928705273,6.26203200073,0.0,0.0394148428314,0.0085426083299,0.966168321425,0.0126281207735,-0.0818641265379,0.0,375.9707870380811,373.7876057935685,376.8554522868285,373.3389682528637
0.5400000000000001,0.00832126626754,0.00131768745936,10.3776162227,0.00891878638006,6.25694245875,0.0,0.0571567001216,0.015241943476,1.15536804505,0.00049098892857,-0.0915218371224,0.0,466.01994953796833,465.25893071863936,465.56049411785676,464.6098857257076
0.6000000000000002,0.0123567995165,0.00243113103023,10.4515212542,0.00841486589172,6.25170556308,0.0,0.0779441814062,0.0218598287217,1.30795345511,-0.0395143347992,-0.0799268017191,0.0,453.9372134120365,454.8604234315253,456.62563088547256,453.42337504541587
0.6600000000000003,0.017853378433,0.00394463723257,10.5376637629,0.00596465808022,6.24687228351,0.0,0.105866303678,0.0282866377938,1.5631311842,-0.0436215716057,-0.0818400902651,0.0,485.334269696983,485.18602656992505,485.781801465592,485.4730279451214
0.7200000000000003,0.0250356900218,0.00576407794137,10.636103886,0.00296946685784,6.24228600484,0.0,0.134056431241,0.0320560891386,1.71796630805,-0.067107146422,-0.06738154562,0.0,455.8413497344193,456.99064653560373,457.5448285472499,455.6697121554917
0.7800000000000004,0.0339207207246,0.00773311556386,10.7417285051,6.28273466582,6.23839489709,0.0,0.162500487745,0.033211968389,1.80270614458,-0.042036261276,-0.0602218103407,0.0,434.44205645596406,435.03870702013006,434.5042650180103,436.59834771517814
0.8400000000000004,0.0447000669903,0.00970543430943,10.8548656881,6.28055272152,6.23442717511,0.0,0.197216910273,0.032271642384,1.96824029222,-0.0269289757892,-0.0818239596356,0.0,461.0125054729443,459.2992861208238,460.4256537726676,461.6186427939243
0.9000000000000005,0.0575150618301,0.0115836136363,10.975077067,6.2787127592,6.22999196026,0.0,0.230395159549,0.0301673691083,2.03865548388,-0.0394437754973,-0.0615469557193,0.0,430.65583310956725,432.36282722675065,432.0626857159689,431.00596143319785
0.9600000000000005,0.0724437694776,0.013294624917,11.1002457014,6.27747131805,6.226589293,0.0,0.2675752824,0.0266993776014,2.13343522618,0.0022944095213,-0.0484684825873,0.0,439.8809544508664,440.96031305131277,437.1294364762436,440.5933838269441
1.0200000000000005,0.0899029556232,0.0147575007057,11.2351666257,6.27812448439,6.22349342189,0.0,0.314732794598,0.0221186164589,2.36345497317,0.0241053680548,-0.0587319140465,0.0,481.895257613669,481.1173336319139,479.70973968476557,481.36292329679674
1.0800000000000005,0.11003151545,0.0159856950995,11.3799513694,6.27960912885,6.22062606975,0.0,0.356523505234,0.0189716680326,2.46246928584,0.0259916742852,-0.0319066784458,0.0,441.1475102760789,443.35532535487204,442.5456109109478,442.70094007877174
1.1400000000000006,0.132705045427,0.017056945012,11.5304209012,6.28080449107,6.21866025686,0.0,0.399440243431,0.0168801718314,2.55296473255,0.00361216589742,-0.0345344815006,0.0,439.9737481850228,439.7557106167324,441.53965683542333,439.68951197575296
1.2000000000000006,0.157835292329,0.0180277569863,11.6838998446,6.28110011919,6.21750146932,0.0,0.438363467932,0.0155031578984,2.56296257077,0.00743538080757,0.000751214620964,0.0,412.0844679776431,415.1916731748511,415.0316519599315,415.36698755228736
1.2600000000000007,0.185458426226,0.018917545506,11.8401568268,6.28145490442,6.21754460412,0.0,0.482386119646,0.0141968543539,2.64540946498,0.00267992112798,0.000654226785616,0.0,438.88451061033504,438.8764445733007,437.75890396856,437.36292256559364
